"Species","Year","q05","q50","mean","q95"
"ARTE",1950,3902.60770897467,31636.9177256221,34951722.4373339,2606172.037951
"ARTE",1951,4014.06198925933,31442.4846968289,23623055.8170118,2327526.48476757
"ARTE",1952,4198.67626356325,31020.778811231,16070611.6766518,2033640.03502241
"ARTE",1953,4427.8924894158,30507.716444992,10968760.0464504,1720739.40747329
"ARTE",1954,4593.09023728307,29914.6775405428,7478869.16579804,1500496.56617428
"ARTE",1955,4736.76162404854,29474.0154476038,5069733.69082678,1293188.35459405
"ARTE",1956,4921.63310377863,28797.5906868552,3401114.26479465,1141416.32526431
"ARTE",1957,5015.50364235391,27960.1273968347,2250004.97977338,979786.977663602
"ARTE",1958,5245.9594181831,27163.4873218093,1465050.59628095,814453.268734431
"ARTE",1959,5387.99752158204,26483.8075972328,939356.593462432,704476.638825685
"ARTE",1960,5544.23091706452,25717.984157121,595039.178417778,577796.191739658
"ARTE",1961,5656.12211449599,24627.1198986276,374751.549910556,470168.222933486
"ARTE",1962,5741.99720229166,23645.5451366459,236815.804860051,376625.769686153
"ARTE",1963,5858.21530854071,22652.937188987,151868.146189827,291338.035486839
"ARTE",1964,5992.74024454868,21539.0463784853,100038.839568314,220161.318701204
"ARTE",1965,6080.50794893087,20476.9236526598,68432.9051837612,166813.16127976
"ARTE",1966,6206.66799973831,19186.4938784676,48990.9251935745,126620.051923206
"ARTE",1967,6241.13802569381,18109.8741232031,36824.674104002,100164.505907281
"ARTE",1968,6248.12495342919,16941.9726765301,29029.5054446459,76819.4875581824
"ARTE",1969,6320.83173595849,15922.0515080797,23897.0308952014,58883.6059928214
"ARTE",1970,6311.61902237167,15061.9235810245,20422.6006326507,47882.2874455841
"ARTE",1971,6345.90146098782,14223.1177437844,18010.069179573,39053.6248408509
"ARTE",1972,6361.96416878658,13319.6043753607,16299.7268337072,32670.5715776956
"ARTE",1973,6261.01953082854,12638.6177324858,15069.4904947172,29198.8184409167
"ARTE",1974,6228.99868094539,12080.2763761073,14178.3641384964,26076.8632229367
"ARTE",1975,6038.83236786991,11582.3482033835,13533.92929076,24763.3602549269
"ARTE",1976,5785.34535719353,11287.3445189455,13073.4731751405,23901.9191316532
"ARTE",1977,5480.58780404592,11054.0436970233,12752.9216479985,23368.5552638062
"ARTE",1978,5242.39045724585,10917.5440129648,12540.298208848,23070.0122362865
"ARTE",1979,5022.47389533168,10810.9309271182,12411.8289027652,22908.3101845025
"ARTE",1980,4900.64134186523,10818.2838966369,12349.5737693892,23182.4057408246
"ARTE",1981,4843.88817240558,10833.3301408569,12339.8925025021,23272.3649847383
"ARTE",1982,4744.61001556436,10906.3812679008,12372.3149929145,23352.3400649863
"ARTE",1983,4756.50481154729,11005.1250323267,12438.5706347923,23740.7878188219
"ARTE",1984,4798.02947237745,11077.9517437339,12531.6662282324,23941.770544668
"ARTE",1985,4892.49220671055,11209.0205693475,12644.9992540968,23965.5732451273
"ARTE",1986,5007.14013568033,11332.0784841015,12771.5542137368,24144.0852379239
"ARTE",1987,5113.39256165148,11445.020896883,12903.2605400376,24341.1830376019
"ARTE",1988,5209.92797686687,11641.331126501,13030.5995855723,24260.8965526028
"ARTE",1989,5344.91506032841,11726.7202072202,13142.5418537116,24604.0829422103
"ARTE",1990,5453.13686656066,11819.4818082119,13226.8751958526,24433.3217001
"ARTE",1991,5512.51953747425,11847.7174439904,13270.9455959198,24376.1776357754
"ARTE",1992,5562.99264310086,11863.8047092855,13262.7677684922,24414.9775840638
"ARTE",1993,5560.34161688209,11849.5445804248,13192.373515186,23825.8820137893
"ARTE",1994,5592.70623794068,11821.4314915155,13053.1704284908,23590.5452183992
"ARTE",1995,5557.17758074304,11705.0120457116,12843.0218463391,22699.080977999
"ARTE",1996,5562.71650700624,11579.7834060379,12564.7743340614,21914.446904824
"ARTE",1997,5476.69085170646,11390.774282388,12226.0679105438,21032.5342968603
"ARTE",1998,5351.20704622777,11098.5021782722,11838.4380220232,19855.8281330131
"ARTE",1999,5331.0971874377,10802.8181669499,11415.8948643284,18737.2653324201
"ARTE",2000,5288.85559923616,10500.4484887421,10973.2819731246,17632.5045628149
"ARTE",2001,5237.80076521232,10082.3086646973,10524.7367087218,16843.2305720976
"ARTE",2002,5044.51727067758,9676.45461962699,10082.5045306487,15953.0973035887
"ARTE",2003,4976.67962899574,9301.13056303684,9656.23417191534,15291.0521800969
"ARTE",2004,4856.11796262473,8875.0635502296,9252.7525644424,14657.3832033179
"ARTE",2005,4723.09267975971,8407.84913543458,8876.22656226521,14062.2719898247
"ARTE",2006,4619.74751229061,7990.17348264808,8528.57809014048,13686.5066058131
"ARTE",2007,4474.49541115665,7621.97270705529,8210.02196759786,13403.464304126
"ARTE",2008,4306.31209500001,7269.00252481685,7919.62209490853,13160.1182908973
"ARTE",2009,4151.72820317658,6926.1944035371,7655.79434354936,13141.0471267395
"ARTE",2010,3976.12408736846,6618.13636058496,7416.71348733185,13088.5344817907
"ARTE",2011,3787.66980131647,6335.61850299913,7200.6042530657,12942.6272250053
"ARTE",2012,3650.03558665459,6048.68109395162,7005.91422584166,12973.2417815658
"ARTE",2013,3501.43310619735,5792.27786335167,6831.38043885798,13075.1823220816
"ARTE",2014,3340.49385972156,5572.78244073632,6676.01228594884,13150.9744046288
"ARTE",2015,3181.46092855419,5389.75332182191,6539.02014065412,13267.3531834005
