"Species","Year","q05","q50","mean","q95"
"ARTE",1950,6636.9297149259,41002.5561886249,10346144.3190652,4820776.72142026
"ARTE",1951,6882.59190674471,40114.1108939053,6953137.7850891,4307290.49966607
"ARTE",1952,7042.46076906065,39563.7277941034,4759040.39432867,3831292.6348395
"ARTE",1953,7210.47849273786,39019.8642308517,3316020.81906759,3390938.99568538
"ARTE",1954,7361.78911436361,38074.5649579148,2347986.88153943,2993532.58675265
"ARTE",1955,7509.66586266963,37442.6657020914,1684288.77543173,2569269.31761383
"ARTE",1956,7583.66028008302,36343.8993959993,1218995.6996875,2202037.41642774
"ARTE",1957,7691.27775512021,35312.2335628542,886025.620460881,1848557.0387894
"ARTE",1958,7793.07737027552,34420.6797986,643878.945041185,1538188.9616912
"ARTE",1959,7895.09059347381,33397.9957664304,466146.065180935,1231528.23505351
"ARTE",1960,7924.24544019096,32066.5362311807,335542.920184618,969501.163033939
"ARTE",1961,7937.6140785607,30531.992632285,240198.043406538,759163.170216937
"ARTE",1962,7855.30557308973,28978.9503011653,171444.026738657,573861.003199892
"ARTE",1963,7867.8320784148,27638.5198270614,122613.351525481,429070.974431575
"ARTE",1964,7880.5996230292,25877.4588367638,88450.7419508922,317081.473624033
"ARTE",1965,7901.25033365096,24158.4626910517,64839.7948906768,224506.206893493
"ARTE",1966,7867.18053751863,22679.6493316535,48642.1571265672,163233.900208349
"ARTE",1967,7813.50024283344,20945.026496544,37549.5202596844,116772.184523312
"ARTE",1968,7722.56321630653,19446.1479063543,29923.8260518042,84187.3591320527
"ARTE",1969,7674.73733690745,18041.8156975711,24637.4383513749,61902.3782847944
"ARTE",1970,7535.72568923467,16809.2591228292,20931.2730692151,48024.9372059418
"ARTE",1971,7355.30419067478,15501.8308008898,18301.2950193485,38946.0899734658
"ARTE",1972,7202.75654779029,14405.6749779897,16414.6875555764,32469.5844595115
"ARTE",1973,6998.58408063976,13436.5354545279,15051.42705896,28849.5609506917
"ARTE",1974,6780.35856081984,12619.427992443,14065.1133255158,26419.5477422622
"ARTE",1975,6505.40234035647,11991.1899321856,13357.2043699046,24946.3740167233
"ARTE",1976,6328.31855410853,11494.6070541553,12859.9530868828,24327.7132545499
"ARTE",1977,6048.58813764669,11098.956260985,12524.7313485794,23760.9025925683
"ARTE",1978,5794.03378166229,10752.8354420406,12313.9106226178,23202.9684318123
"ARTE",1979,5576.73267452421,10555.7297577437,12195.816884712,23280.9934735956
"ARTE",1980,5423.4434994371,10473.9251907163,12142.8866279038,23377.07885113
"ARTE",1981,5356.65554729985,10437.8409058218,12132.5532110211,23589.78831898
"ARTE",1982,5303.70397875843,10425.0533863272,12149.1389940724,23436.8068275575
"ARTE",1983,5333.2739580913,10467.4323885107,12184.536290571,23566.7888388588
"ARTE",1984,5365.84614894921,10531.8735298073,12236.5200276775,23959.1047385456
"ARTE",1985,5423.7847663258,10570.3387205812,12305.3139930724,24431.6837710743
"ARTE",1986,5490.70995753662,10632.3580226101,12390.0297702145,24505.3502036529
"ARTE",1987,5541.40626664415,10679.8834573267,12486.2785343225,24994.0457643383
"ARTE",1988,5649.3957170014,10682.4542467332,12585.3166810662,25251.1602385316
"ARTE",1989,5736.3858227032,10663.4525616999,12674.4182439631,25391.3868702638
"ARTE",1990,5799.44633091796,10688.049973566,12738.0442018701,25971.1503091747
"ARTE",1991,5846.07596645327,10701.8419704651,12759.5414188173,25848.6201953143
"ARTE",1992,5870.33406802363,10676.4506817147,12723.2239795523,25802.3615669155
"ARTE",1993,5873.46119995621,10634.6956720393,12616.6379018095,25533.1887221151
"ARTE",1994,5847.64280504869,10512.2992833703,12432.6507425314,25213.573705593
"ARTE",1995,5786.37901056469,10342.1697924691,12170.888514416,24489.6248334054
"ARTE",1996,5732.17275048981,10186.6128362452,11838.0917169876,23210.7465232159
"ARTE",1997,5702.46233767424,9974.18925914413,11447.2139706089,21870.9556388867
"ARTE",1998,5642.71086259543,9698.68284338586,11015.4527733645,20772.7452775322
"ARTE",1999,5571.02177294816,9462.77347882051,10561.716236247,19434.7101236705
"ARTE",2000,5438.93992444226,9178.78032161636,10104.1480115607,17955.6192300155
"ARTE",2001,5318.23815749361,8870.09770331108,9658.22037133314,16586.24103854
"ARTE",2002,5215.18931227273,8564.57556248638,9235.64725119279,15575.2601802115
"ARTE",2003,5054.8289226733,8281.24628319841,8844.10071008175,14609.1880825034
"ARTE",2004,4918.66835150113,7980.13696950775,8487.53761664052,13869.9487392856
"ARTE",2005,4786.56478664624,7694.92917609754,8166.88632374865,13281.6428125042
"ARTE",2006,4605.17604422324,7407.06152654199,7880.87402777642,12796.7448498789
"ARTE",2007,4416.48008035091,7158.53194198294,7626.84289441614,12471.0057976789
"ARTE",2008,4229.12526124296,6964.88590305212,7401.4670494925,12204.5517939762
"ARTE",2009,4064.56754174727,6763.27601987043,7201.32623778932,12005.6188146423
"ARTE",2010,3883.78669045259,6571.23249661594,7023.31679693517,11833.5368739511
"ARTE",2011,3703.38774468867,6420.77664977682,6864.89603812697,11752.3265692551
"ARTE",2012,3568.44557402686,6226.11158469363,6724.17041119252,11637.5957876572
"ARTE",2013,3434.26720039953,6100.66695850999,6599.85326807046,11561.7141290646
"ARTE",2014,3281.09918256893,5944.63282227844,6491.13146533283,11514.9574351115
"ARTE",2015,3120.48334155668,5831.70867382795,6397.48676502932,11597.2980475775
"ARTE",2016,3028.90824623991,5731.23693456264,6318.51588740454,11676.1095061157
"ARTE",2017,2898.36688089496,5657.06350492482,6253.78407370919,11823.3001388577
"ARTE",2018,2750.21867392999,5581.46498820432,6202.73551270023,11909.9529298189
"ARTE",2019,2629.2265664028,5504.51207041795,6164.6739800865,12148.4092955241
"ARTE",2020,2481.67725838163,5441.90108573194,6138.82037866729,12386.1756080975
"ARTE",2021,2333.66580071408,5392.04972374321,6124.45039055166,12678.8906179633
"ATPU",1950,325559.707834345,776496.850277078,1173487.75283766,3295281.38129985
"ATPU",1951,326843.911056354,767785.006269834,1130612.62085151,3134757.62590496
"ATPU",1952,332122.306924169,762222.972922941,1091583.35728117,2926215.14556887
"ATPU",1953,336493.365511987,753454.788675466,1055696.92765792,2806572.61905837
"ATPU",1954,337772.459320676,741699.730501946,1022271.83650887,2636891.87984134
"ATPU",1955,340235.467744494,734236.014110058,990677.307084715,2485969.45671474
"ATPU",1956,343942.30188592,722596.776470251,960360.129134085,2338845.65348352
"ATPU",1957,347191.884472309,714682.438744859,930868.594949692,2215047.65482451
"ATPU",1958,351778.897275218,701966.497603371,901871.737038987,2084954.37287575
"ATPU",1959,354317.686728192,692797.44874006,873171.416025319,1957281.49161992
"ATPU",1960,357041.785679025,681702.491941809,844704.943025824,1831132.66195376
"ATPU",1961,358631.889143788,670710.104659636,816536.889839392,1707485.7508257
"ATPU",1962,361304.159970564,659256.901108928,788840.319441034,1603215.5173489
"ATPU",1963,364780.47608817,648949.041413967,761869.426034847,1501685.40131991
"ATPU",1964,365807.274076505,636706.885836671,735927.00341258,1399053.92551828
"ATPU",1965,367737.255556783,627580.315197156,711330.864517285,1314005.6340179
"ATPU",1966,371989.080347413,615847.228390478,688383.163069826,1231530.57617577
"ATPU",1967,376045.06943774,606623.673823591,667345.651634552,1153912.75662371
