"Species","Year","baseline_year","prob_decline","percent_change_q025","percent_change_q05","percent_change_q10","percent_change_q50","percent_change_mean","percent_change_q90","percent_change_q95","percent_change_q975"
"ARTE",1970,1970,0,0,0,0,0,0,0,0,0
"ARTE",1971,1970,0.898666666666667,-30.5580425903058,-26.2264634247269,-21.2571361059425,-5.95534008599902,-8.33212372686983,0.0077607935578349,1.19491392948702,2.74952131980029
"ARTE",1972,1970,0.897333333333333,-50.1557779804083,-43.8549810114894,-36.2503668103965,-11.1359979269713,-14.5699247362466,0.116545697596858,2.77903281551217,5.8315812352379
"ARTE",1973,1970,0.894333333333333,-62.2614392980952,-55.712380013949,-46.8368353796467,-15.6083151735938,-19.2251418301125,0.444455411719296,4.13063198413952,9.14445164422465
"ARTE",1974,1970,0.889666666666667,-70.6384215326958,-63.4934755906188,-54.6314250941709,-19.1317771908187,-22.6636881709575,0.827753948022495,6.23581073754626,12.7165798510247
"ARTE",1975,1970,0.885333333333333,-76.1424670041517,-69.2874467454677,-60.8300200253852,-22.0667636097237,-25.150714275138,1.56699991334887,8.36006234331918,17.6978342447831
"ARTE",1976,1970,0.876333333333333,-79.8764940098606,-73.5536167847649,-64.6769730702003,-24.4994748751128,-26.8826382961327,2.17370569740108,11.8534582202521,22.8269416443786
"ARTE",1977,1970,0.869666666666667,-82.4028489260307,-76.3975311323278,-67.1455965879282,-26.5740775604491,-28.0103030897747,3.33407717859332,15.1433103200355,27.0980966328942
"ARTE",1978,1970,0.863666666666667,-84.1985325542261,-78.3299736589516,-68.7864264385901,-27.9612600884279,-28.6556541480983,4.92584289912687,17.6407772076776,33.9878898178497
"ARTE",1979,1970,0.858666666666667,-85.3637827495981,-79.8207650530318,-70.3505287429879,-29.3729709340507,-28.9223828540002,6.44895107334728,20.6000119740226,40.7664359369485
"ARTE",1980,1970,0.850333333333333,-86.0241086334742,-80.9454663885287,-71.0258243573901,-30.2714233403363,-28.9001950133135,8.12090130545529,25.1066528344022,44.7914545680895
"ARTE",1981,1970,0.843666666666667,-86.7057568658747,-81.4105313610369,-71.5361243730166,-30.9070284876319,-28.663753401235,9.6813320904662,30.1539782715044,47.9199809296559
"ARTE",1982,1970,0.836666666666667,-86.7563342009496,-81.9281800332703,-71.8278286622543,-31.6514302835932,-28.2698733866771,11.424518737495,33.7735147578027,53.7382424519346
"ARTE",1983,1970,0.834333333333333,-86.8484380918283,-82.1474170682399,-71.354823478026,-31.5179667095757,-27.7574792846389,13.4629066784928,37.4967142672185,59.5411733201477
"ARTE",1984,1970,0.83,-86.8617535223541,-80.9768077459748,-71.6151714762854,-31.7270179280873,-27.1526387746472,15.8944179665109,39.9964020654798,63.6500893950825
"ARTE",1985,1970,0.825333333333333,-86.4738273674059,-80.722374437567,-71.2416327768375,-31.6093456543348,-26.4773449788237,18.3407400602385,44.4174122373534,71.9788065760836
"ARTE",1986,1970,0.82,-85.9731161298818,-80.2645458358034,-71.1352085713123,-31.5903433131659,-25.7585845409109,19.6108134443637,48.9802865597958,78.8439252846762
"ARTE",1987,1970,0.814666666666667,-85.2833033471138,-79.858029109706,-70.4702635538684,-31.651174403248,-25.034707697605,21.3758872968428,51.5809373638986,83.5262685140304
"ARTE",1988,1970,0.809666666666667,-85.0254098728167,-79.1505537754774,-69.5343762095397,-31.8105416867394,-24.3578890905097,23.3104029822162,54.7808934658563,88.2182175366798
"ARTE",1989,1970,0.803333333333333,-84.128954386182,-78.4146552916679,-69.2498115484018,-31.8594112846277,-23.7928278888081,24.3404298083844,58.759479790852,91.9254934482368
"ARTE",1990,1970,0.798,-83.5964831426656,-77.9160824924981,-68.7679100796051,-31.9977189684407,-23.4122655442684,25.7543566780377,61.0512363626817,95.3525300185183
"ARTE",1991,1970,0.794333333333333,-82.867719871736,-77.6016124105575,-68.7651959896305,-32.1992606574634,-23.2899030624867,26.4136171835867,63.608344411502,97.4600278635515
"ARTE",1992,1970,0.791333333333333,-82.2217863093139,-77.0978687863896,-68.2685912390558,-32.588706786324,-23.4914755985268,26.6390045786894,63.0856899249268,97.151684882226
"ARTE",1993,1970,0.794333333333333,-82.2597817037578,-76.7041815716355,-68.6397661062228,-33.2369340692932,-24.0652438200256,26.4474074368746,62.13353989128,94.7458880610884
"ARTE",1994,1970,0.797333333333333,-82.6351638620539,-76.4550553793471,-68.6717369478754,-33.8847363711016,-25.0337173000768,24.7462276094208,60.1992633727379,91.3249730664455
"ARTE",1995,1970,0.809,-82.7101387108492,-76.4148647795136,-69.4337496647753,-35.2046187184548,-26.3886064751853,23.5525711138793,57.3138510513113,88.3282957894092
"ARTE",1996,1970,0.82,-82.5475165650751,-76.7500838903748,-69.7749757633336,-36.6837230045819,-28.0905058424862,20.7793605876248,54.1038206348683,80.6827138068024
"ARTE",1997,1970,0.832666666666667,-82.809652582632,-77.4040942662506,-70.6778827327927,-38.243779040797,-30.0736733128598,17.919758738584,49.2571892124938,73.0801584216062
"ARTE",1998,1970,0.840333333333333,-82.9686927015445,-78.3159772259637,-71.5952449772237,-39.9433366607861,-32.254885015554,15.5621850608894,42.4205935594431,67.3205795432862
"ARTE",1999,1970,0.855666666666667,-83.3950610144218,-79.1734833084141,-72.592565508909,-41.9521148895143,-34.5442825254238,13.1690974945768,36.740727147139,59.9260321131008
"ARTE",2000,1970,0.867,-84.1951745710686,-79.7017584588302,-73.7262898948403,-44.2359272027947,-36.8558160526807,9.42617855900805,31.2795048479196,54.5779676841566
"ARTE",2001,1970,0.879,-84.8249925296454,-80.4586164340751,-75.1763634295781,-46.1121568651873,-39.1153676581483,5.37103031680397,27.4578841184424,48.6269856936604
"ARTE",2002,1970,0.892,-85.471511126234,-81.627042128676,-76.6553489562705,-47.8345143999843,-41.2655931577351,3.23372476829318,22.9621880167948,47.0596667507319
"ARTE",2003,1970,0.899333333333333,-86.0511655891629,-82.5229722790044,-77.8238592328021,-49.8688414616742,-43.2674956755703,0.108536047651428,20.0928870039906,44.2249599155586
"ARTE",2004,1970,0.906666666666667,-86.6273646771823,-83.5798814143444,-79.1441187459883,-51.710200652612,-45.0994044314945,-2.38147475629733,17.7085907357043,39.6404265055652
"ARTE",2005,1970,0.913,-87.5560764242885,-84.6138884679455,-80.2199054397973,-53.836094656495,-46.7542830939348,-4.72622507680501,15.0271127504683,37.1599901858541
"ARTE",2006,1970,0.921,-88.5184680142142,-85.5562951809604,-81.1636343440503,-55.534340462194,-48.2362282786924,-6.06438651987238,12.9771759582699,34.2350875607947
"ARTE",2007,1970,0.926,-89.3542679209729,-86.5401359488437,-82.1119595595819,-56.7247594950871,-49.5568072547583,-8.2225528748564,11.0975029365676,30.5765266629064
"ARTE",2008,1970,0.928666666666667,-90.1969638466611,-87.3451680978792,-82.9159518537861,-58.11872530327,-50.7316618545887,-9.05933185957352,9.66103248551916,29.429623250643
"ARTE",2009,1970,0.934,-90.8352982528633,-88.0773099177854,-83.8689895169571,-59.107192006187,-51.777639054783,-10.294501034528,7.90032416984142,28.5256790748289
"ARTE",2010,1970,0.937333333333333,-91.3469356054745,-88.6864375959859,-84.6577222405277,-60.3277215800531,-52.7106008064768,-11.4911258483489,7.9391261718894,28.4293321542655
"ARTE",2011,1970,0.937,-91.7249572285287,-89.2407103142844,-85.2541546632589,-61.0645343165715,-53.5439880112456,-12.3511090393849,5.49428546010109,29.1423788384387
"ARTE",2012,1970,0.940333333333333,-92.1199190212395,-89.5863592446691,-85.9418791313339,-62.1784246122999,-54.2881380849989,-12.4326886839281,4.37356247870807,30.0343866049362
"ARTE",2013,1970,0.941666666666667,-92.4187594634726,-90.0687962942368,-86.5189878348598,-63.0429261942193,-54.9502738801293,-13.2298980548366,4.5713883584658,29.0139852683924
"ARTE",2014,1970,0.942,-92.6985120643921,-90.5411488256216,-86.999390021482,-64.032720693992,-55.5350060850876,-14.3707666647082,4.61892626123856,30.1699947732268
"ARTE",2015,1970,0.942,-93.0516300176811,-90.8629356291071,-87.5742468264991,-64.7965204044132,-56.0451418418159,-15.448144567023,5.04746889347149,31.5657618926585
"ARTE",2016,1970,0.942333333333333,-93.208883563536,-91.1861388289271,-88.2347510304574,-65.3979710180878,-56.4825819055994,-15.5617609369179,4.5764491372889,33.0261179664868
"ARTE",2017,1970,0.942,-93.5305122594094,-91.3291974893378,-88.6026084964251,-65.8277766245119,-56.8491146818472,-15.7084072745646,6.426604126503,31.8713711680903
"ARTE",2018,1970,0.942333333333333,-93.8278083364335,-91.5772712356082,-88.9088103843916,-66.2097280983378,-57.1469636554891,-15.9031818567294,7.33127534596287,33.301881246453
"ARTE",2019,1970,0.94,-94.1342651754138,-91.9137797037992,-89.1503235551978,-66.4757312218086,-57.3789986133052,-16.1259575458257,7.76464955791337,32.2124955756526
"ARTE",2020,1970,0.938666666666667,-94.4869852192124,-92.1912003344304,-89.3234696456327,-66.9612806933123,-57.5485695220766,-15.9181619491242,8.40909132814117,34.1886159650168
"ARTE",2021,1970,0.937333333333333,-94.6343069079883,-92.4315435123266,-89.522114344088,-67.1580073233465,-57.6589601978397,-15.0101132881232,8.54910526517235,34.4248830926611
"ATPU",1970,1970,0,0,0,0,0,0,0,0,0
"ATPU",1971,1970,0.653666666666667,-7.52351820211422,-6.2607173561339,-4.93389774904429,-1.04112334909225,-1.27982572558913,1.9637073093149,2.76794153103579,3.40341166297741
"ATPU",1972,1970,0.637333333333333,-14.0447416755026,-11.7613095505233,-9.32257246304094,-1.86349696829387,-2.22625596924336,4.11518251821095,5.79860140820206,7.00552008199662
"ATPU",1973,1970,0.620666666666667,-19.5369892345918,-16.3519063092403,-13.0064386288306,-2.4003273433116,-2.85194446205348,6.47198356722372,9.12712599384109,10.849189916935
"ATPU",1974,1970,0.606,-24.3718499925102,-20.2600155697211,-16.1515206874227,-2.66412197013123,-3.17481083617147,8.97872165643246,12.7678487674108,14.9399781135595
"ATPU",1975,1970,0.591666666666667,-28.4230584519409,-23.7791957479067,-18.9345134748246,-2.7992459190215,-3.21602086047126,11.7008949929492,16.3695604074844,19.2699592553726
"ATPU",1976,1970,0.577,-31.7146744960797,-26.503732298446,-21.0030818282553,-2.61597877639247,-2.99795720409485,14.6022442887397,20.0000410669054,23.5681361420211
"ATPU",1977,1970,0.553666666666667,-34.5398198715512,-28.815684937184,-22.9111786558155,-2.36139022810982,-2.54235102083592,17.4061171564059,23.5432191083405,27.8625071421488
"ATPU",1978,1970,0.54,-36.8260710908153,-30.6988996288765,-24.5574563244916,-1.84439220553039,-1.86874606329617,20.6471209717977,27.4368212732884,32.4305874907461
"ATPU",1979,1970,0.52,-38.5685624258002,-32.0437314262234,-25.7599234357917,-0.974493152903592,-0.993451779587914,24.0495344777747,31.2720078943472,37.2970806471927
"ATPU",1980,1970,0.501666666666667,-39.5351997634098,-33.3364118217785,-26.7590677531854,-0.084396676915312,0.0708985910400572,26.8363108742666,35.4542210776313,42.1143452974532
"ATPU",1981,1970,0.482333333333333,-40.2493064296006,-34.4965647737291,-27.0822140628253,0.981673537311601,1.31513490705669,30.038854932649,39.4257582859094,47.2533936146034
"ATPU",1982,1970,0.464666666666667,-41.1047041244207,-34.8761826744002,-27.1522309181336,2.14311780598305,2.7327152082227,33.3228082296684,43.5701845811151,52.6207011500566
"ATPU",1983,1970,0.447,-41.3363073341014,-35.2116659015037,-27.1157186756326,3.22828304653477,4.31838867909542,36.9844393096923,47.8664404130248,57.5059312033628
"ATPU",1984,1970,0.424666666666667,-41.5236750464542,-35.1014649167244,-26.7373386523682,4.67826381398948,6.06655122310285,40.6436241842239,52.0675710488355,63.1321561174095
"ATPU",1985,1970,0.400333333333333,-41.4133778301613,-34.8799236603257,-26.6638402561359,6.55628026230617,7.96954079518924,44.4141483820595,56.7834540450758,68.2402583824056
"ATPU",1986,1970,0.382333333333333,-41.4961506320802,-34.2041247307467,-26.4237318703591,8.59207394099868,10.0161432412334,48.2922391313642,62.1448568981305,73.2868629589304
"ATPU",1987,1970,0.364,-41.4824796933951,-33.9101093149499,-25.9020889319957,10.3484445510435,12.1905717940561,52.2216618494682,67.6966440780153,79.2517354786957
"ATPU",1988,1970,0.341,-40.6448621220236,-33.2047068759329,-25.167058161269,12.4704413257494,14.4721436735564,56.2408209969096,72.3143977577926,85.2849950114326
"ATPU",1989,1970,0.325,-39.5385544556681,-32.5018293758412,-23.9641126443042,14.745128155803,16.8358047435775,60.1340638394333,77.4198572354694,90.9579110536211
"ATPU",1990,1970,0.305,-38.8525425104455,-31.6718304895922,-22.8830394830724,16.7791348898212,19.2535486830788,64.1706297845688,83.0843954509345,95.8802927615663
"ATPU",1991,1970,0.289666666666667,-38.4925707962799,-30.70701791603,-21.6344562363947,18.68170567717,21.696646474234,68.3861847419086,88.2175993230665,101.152321024636
"ATPU",1992,1970,0.272333333333333,-38.3238569697669,-30.2709477869476,-20.7439566881929,20.6365416894839,24.1384599389105,73.3447401744574,93.0297699370758,106.258566940949
"ATPU",1993,1970,0.255666666666667,-37.617015383763,-29.4102364032631,-19.6536153303031,22.6182472371647,26.5574843638565,76.7024263835153,97.2230842808103,111.862675006238
"ATPU",1994,1970,0.238666666666667,-36.8865472594614,-28.5344940002664,-18.5752754856625,24.6755191679374,28.9401808418397,80.7249032191613,101.340525911602,115.970244362297
"ATPU",1995,1970,0.223333333333333,-36.5685830837863,-27.6346289208178,-17.4013074814117,26.7701889594621,31.2831466860622,84.1241132865143,105.444014514371,120.187733021553
"ATPU",1996,1970,0.213,-35.7527477150701,-26.1424590753359,-16.1582744487114,29.1853982396594,33.5942457766177,87.5870799867503,108.728149460619,125.143381353049
"ATPU",1997,1970,0.199,-34.975553969654,-25.4688509845778,-14.7990374944047,31.3879632788896,35.8924713941527,91.6236447485798,112.051305097515,129.364043760783
"ATPU",1998,1970,0.182,-33.7364467345012,-23.8422646577685,-13.3151463930763,33.6326083013962,38.2065112490181,95.6498235693325,116.324809256817,132.81024289265
"ATPU",1999,1970,0.169333333333333,-32.8379432805501,-22.7999080258788,-11.9946644361165,35.8174705708867,40.5721843116519,98.9684144740597,119.461970509117,136.223004618876
"ATPU",2000,1970,0.161666666666667,-31.347704432016,-21.7850589040998,-10.4574886576295,38.3633411185803,43.0290796471464,102.821872694336,123.914920469225,140.189205074749
"ATPU",2001,1970,0.150666666666667,-30.3751183833138,-20.5014133155517,-9.20771030462744,41.0663591857031,45.6168217424853,106.617184791398,127.736265255294,146.412043779576
