"Species","Year","results_code","area_code","year","season","period","species_code","species_id","index","stderr","stdev","upper_ci","lower_ci","LOESS_index"
"ARTE",1972,"SCMP","Atlantic",1972,"breeding","all years","arcter",5580,14572.5279208286,NA,3757.8850329469,24240.6049244559,9701.95801598084,14531.5865037957
"ARTE",1973,"SCMP","Atlantic",1973,"breeding","all years","arcter",5580,13949.7670165471,NA,3077.80560763292,21454.2743441362,9662.28756745988,13915.9672146611
"ARTE",1974,"SCMP","Atlantic",1974,"breeding","all years","arcter",5580,13417.2322857261,NA,2598.87428629326,19579.1283685495,9473.21719121235,13374.8394238546
"ARTE",1975,"SCMP","Atlantic",1975,"breeding","all years","arcter",5580,12898.50948387,NA,2321.77315359219,18287.6062146633,9332.23119061231,12902.7874143726
"ARTE",1976,"SCMP","Atlantic",1976,"breeding","all years","arcter",5580,12453.869487698,NA,2238.55674097547,17544.7417820675,8980.82824187541,12491.986670059
"ARTE",1977,"SCMP","Atlantic",1977,"breeding","all years","arcter",5580,12072.3050385359,NA,2319.65554332425,17641.1685786141,8543.31171411859,12136.8633920272
"ARTE",1978,"SCMP","Atlantic",1978,"breeding","all years","arcter",5580,11771.1487147786,NA,2520.33111611278,17908.4009219131,8076.99179119676,11835.0551724103
"ARTE",1979,"SCMP","Atlantic",1979,"breeding","all years","arcter",5580,11529.4906173631,NA,2797.58274908409,18544.8070644288,7556.94817727975,11582.8141294467
"ARTE",1980,"SCMP","Atlantic",1980,"breeding","all years","arcter",5580,11338.9501301925,NA,3118.22724589775,19096.0916850617,7071.83377892022,11373.8020235878
"ARTE",1981,"SCMP","Atlantic",1981,"breeding","all years","arcter",5580,11172.8174936209,NA,3457.48642308648,20101.0864928838,6707.61353559933,11211.3278316912
"ARTE",1982,"SCMP","Atlantic",1982,"breeding","all years","arcter",5580,11045.8503506856,NA,3795.23699856681,20969.9975053842,6379.86209791741,11094.2112770321
"ARTE",1983,"SCMP","Atlantic",1983,"breeding","all years","arcter",5580,10968.2132985682,NA,4113.43956371786,21854.9651735587,6103.04765383247,11010.7227872686
"ARTE",1984,"SCMP","Atlantic",1984,"breeding","all years","arcter",5580,10963.2512539757,NA,4395.21705296187,22531.3652825318,5907.74740173899,10979.4812019482
"ARTE",1985,"SCMP","Atlantic",1985,"breeding","all years","arcter",5580,10965.9795605112,NA,4625.1506479795,23227.7756320118,5770.67006953386,10999.278853705
"ARTE",1986,"SCMP","Atlantic",1986,"breeding","all years","arcter",5580,11031.7777243339,NA,4790.25043991238,23662.0175046643,5800.24394353218,11029.6028625924
"ARTE",1987,"SCMP","Atlantic",1987,"breeding","all years","arcter",5580,11094.6090788978,NA,4881.10972396443,24116.9154388385,5804.83500130148,11093.4366260094
"ARTE",1988,"SCMP","Atlantic",1988,"breeding","all years","arcter",5580,11174.5771758843,NA,4892.84308614534,24188.294913558,5874.56846310325,11203.3451885664
"ARTE",1989,"SCMP","Atlantic",1989,"breeding","all years","arcter",5580,11280.9336184562,NA,4825.5403261698,24217.6744275804,5944.58137244677,11301.935985212
"ARTE",1990,"SCMP","Atlantic",1990,"breeding","all years","arcter",5580,11423.5065140789,NA,4684.13452453773,24057.8039697518,6103.56660599481,11405.4961677129
"ARTE",1991,"SCMP","Atlantic",1991,"breeding","all years","arcter",5580,11567.2217152215,NA,4477.75032537987,23568.7023440605,6296.88625120389,11549.8776052876
