"results_code","version","area_code","species_code","species_id","season","period","years","year_start","year_end","trnd","index_type","upper_ci","lower_ci","stderr","model_type","model_fit","percent_change","percent_change_low","percent_change_high","prob_decrease_0","prob_decrease_25","prob_decrease_30","prob_decrease_50","prob_increase_0","prob_increase_33","prob_increase_100","reliability","precision_num","precision_cat","coverage_num","coverage_cat","goal","goal_lower","sample_size","sample_total","subtitle","prob_LD","prob_MD","prob_LC","prob_MI","prob_LI"
"SCMP",2023,"Pacific","ancmur",5850,"breeding","all years","1984-2018",1984,2018,1.03754177854209,NA,1.9289883373079,0.130986500162906,NA,"GAMM",NA,42.0411654836081,4.55115636668254,91.4794948120638,0.0123333333333333,0,0,0,0.987666666666667,0.656333333333333,0.0123333333333333,NA,NA,"High",0.403092999930023,"Medium",NA,NA,NA,NA,NA,0,0,0.343666666666667,0.644,0.0123333333333333
"SCMP",2023,"Pacific","ancmur",5850,"breeding","3Gen-Recent","2003-2018",2003,2018,1.54882493474356,NA,3.34391655526696,-0.273994790200176,NA,"GAMM",NA,25.9283566520733,-4.03202332283739,63.7848628456831,0.0476666666666667,0,0,0,0.952333333333333,0.337,0.001,NA,NA,"Medium",0.403092999930023,"Medium",NA,NA,NA,NA,NA,0,0,0.663,0.336,0.001
"SCMP",2023,"Pacific","ancmur",5850,"breeding","10-years","2008-2018",2008,2018,1.82271997782589,NA,4.55804256193245,-0.735767885784194,NA,"GAMM",NA,19.7972757180046,-7.11878719520896,56.1616690263477,0.0866666666666667,0,0,0,0.913333333333333,0.218333333333333,0.000333333333333333,NA,NA,"Medium",0.403092999930023,"Medium",NA,NA,NA,NA,NA,0,0,0.781666666666667,0.218,0.000333333333333333
"SCMP",2023,"Pacific","casauk",5860,"breeding","all years","1991-2019",1991,2019,-1.18227766477964,NA,0.151387070461688,-2.51372666451269,NA,"GAMM",NA,-28.3237115077191,-50.9750536941442,4.32662272314611,0.961,0.597666666666667,0.449,0.0276666666666667,0.039,0.000666666666666667,0,NA,NA,"High",0.863463816003324,"High",NA,NA,NA,NA,NA,0.0276666666666667,0.57,0.401666666666667,0.000666666666666667,0
"SCMP",2023,"Pacific","casauk",5860,"breeding","3Gen-Recent","1998-2019",1998,2019,-0.534427107081842,NA,1.23788531057858,-2.28880254222144,NA,"GAMM",NA,-10.6430034007673,-38.5062390219168,29.4805059294578,0.742666666666667,0.166666666666667,0.0936666666666667,0.00133333333333333,0.257333333333333,0.02,0,NA,NA,"Medium",0.863463816003324,"High",NA,NA,NA,NA,NA,0.00133333333333333,0.165333333333333,0.813333333333333,0.02,0
"SCMP",2023,"Pacific","casauk",5860,"breeding","10-years","2009-2019",2009,2019,0.180611336794145,NA,3.89187666065026,-3.36565144449296,NA,"GAMM",NA,1.82086372106209,-28.9906989110729,46.4926760821758,0.459666666666667,0.046,0.0223333333333333,0.000333333333333333,0.540333333333333,0.077,0,NA,NA,"Low",0.863463816003324,"High",NA,NA,NA,NA,NA,0.000333333333333333,0.0456666666666667,0.877,0.077,0
"SCMP",2023,"Pacific","rhiauk",5910,"breeding","all years","1984-2022",1984,2022,0.116264950829448,NA,0.704741043225598,-0.473343530610478,NA,"GAMM",NA,4.51443584687345,-16.4978321183434,30.5860685967734,0.353333333333333,0.004,0.000666666666666667,0,0.646666666666667,0.016,0,NA,NA,"High",0.884707204044376,"High",NA,NA,NA,NA,NA,0,0.004,0.98,0.016,0
"SCMP",2023,"Pacific","rhiauk",5910,"breeding","3Gen-Recent","2001-2022",2001,2022,-0.140663315910061,NA,0.836713424393095,-1.19957762362227,NA,"GAMM",NA,-2.91274645555633,-22.3869365374796,19.1220962756214,0.611,0.0123333333333333,0.004,0,0.389,0,0,NA,NA,"High",0.884707204044376,"High",NA,NA,NA,NA,NA,0,0.0123333333333333,0.987666666666667,0,0
"SCMP",2023,"Pacific","rhiauk",5910,"breeding","10-years","2012-2022",2012,2022,-0.381302180239412,NA,0.971427546812841,-2.15640250689025,NA,"GAMM",NA,-3.74825652321396,-19.5873964334803,10.1501177580019,0.706333333333333,0.00366666666666667,0.000333333333333333,0,0.293666666666667,0,0,NA,NA,"High",0.884707204044376,"High",NA,NA,NA,NA,NA,0,0.00366666666666667,0.996333333333333,0,0
"SCMP",2023,"Pacific","tufpuf",5940,"breeding","all years","1984-2019",1984,2019,-0.611000831255548,NA,0.949270641448863,-2.0862594399259,NA,"GAMM",NA,-19.3060238546368,-52.1890333407259,39.1911084628564,0.798,0.393666666666667,0.287,0.0363333333333333,0.202,0.0323333333333333,0.00133333333333333,NA,NA,"High",1,"High",NA,NA,NA,NA,NA,0.0363333333333333,0.357333333333333,0.574,0.031,0.00133333333333333
"SCMP",2023,"Pacific","tufpuf",5940,"breeding","3Gen-Recent","1989-2019",1989,2019,-0.558279390596628,NA,1.01608523139783,-2.01476700509397,NA,"GAMM",NA,-15.4606477687939,-45.6976168451504,35.4303765765813,0.774666666666667,0.291,0.194666666666667,0.012,0.225333333333333,0.028,0.001,NA,NA,"High",1,"High",NA,NA,NA,NA,NA,0.012,0.279,0.681,0.027,0.001
"SCMP",2023,"Pacific","tufpuf",5940,"breeding","10-years","2009-2019",2009,2019,0.171927750424972,NA,4.70196313219336,-4.34255497641435,NA,"GAMM",NA,1.73264029127617,-35.8513128584653,58.3245472258398,0.471333333333333,0.0983333333333333,0.0596666666666667,0.00166666666666667,0.528666666666667,0.123666666666667,0.005,NA,NA,"Low",1,"High",NA,NA,NA,NA,NA,0.00166666666666667,0.0966666666666667,0.778,0.118666666666667,0.005
